id,disposition_type
89334,policy_sold
122349,policy_sold
42645,policy_sold
49298,policy_sold
91178,policy_sold
61705,policy_sold
54165,policy_sold
127137,policy_sold
64599,policy_sold
121246,policy_sold
37389,policy_sold
12747,policy_sold
59942,policy_sold
2825,policy_sold
67989,policy_sold
98699,policy_sold
86809,policy_sold
67352,policy_sold
48155,policy_sold
42704,policy_sold
59593,policy_sold
114904,policy_sold
39231,policy_sold
91128,policy_sold
59931,policy_sold
59931,policy_sold
70026,policy_sold
40580,policy_sold
79289,policy_sold
43681,policy_sold
101677,policy_sold
57123,policy_sold
120199,policy_sold
43766,policy_sold
109803,policy_sold
48682,policy_sold
46362,policy_sold
122591,policy_sold
41668,policy_sold
118854,policy_sold
115285,policy_sold
110603,policy_sold
111393,policy_sold
108570,policy_sold
56384,policy_sold
94711,policy_sold
67054,policy_sold
41305,policy_sold
95473,policy_sold
48591,policy_sold
126990,policy_sold
38434,policy_sold
102771,policy_sold
44678,policy_sold
113170,policy_sold
115837,policy_sold
102696,policy_sold
72515,policy_sold
117317,policy_sold
113409,policy_sold
118812,policy_sold
119802,policy_sold
119738,policy_sold
109857,policy_sold
49070,policy_sold
126399,policy_sold
100305,policy_sold
130017,policy_sold
132356,policy_sold
124804,policy_sold
89663,policy_sold
97587,policy_sold
85625,policy_sold
41969,policy_sold
77946,policy_sold
46009,policy_sold
111816,policy_sold
44626,policy_sold
114454,policy_sold
43115,policy_sold
106083,policy_sold
103885,policy_sold
37435,policy_sold
37435,policy_sold
118044,policy_sold
102720,policy_sold
118510,policy_sold
119135,policy_sold
119566,policy_sold
93516,policy_sold
120908,policy_sold
96793,policy_sold
121531,policy_sold
84284,policy_sold
130475,policy_sold
131273,policy_sold
124620,policy_sold
136284,policy_sold
132202,policy_sold
39419,policy_sold
98770,policy_sold
79380,policy_sold
121682,policy_sold
112085,policy_sold
133266,policy_sold
134082,policy_sold
136302,policy_sold
42956,policy_sold
55044,policy_sold
114372,policy_sold
96727,policy_sold
90487,policy_sold
84206,policy_sold
38867,policy_sold
102156,policy_sold
35211,lost
37010,policy_sold
64671,policy_sold
64266,policy_sold
96192,policy_sold
47603,policy_sold
37063,policy_sold
98695,policy_sold
76067,policy_sold
96344,policy_sold
52898,policy_sold
100599,policy_sold
70215,policy_sold
78032,policy_sold
100820,policy_sold
60811,policy_sold
136052,policy_sold
101860,policy_sold
49868,policy_sold
9782,policy_sold
104221,policy_sold
134728,policy_sold
107811,policy_sold
108056,policy_sold
108242,policy_sold
126551,policy_sold
136644,policy_sold
107458,policy_sold
70306,policy_sold
113204,policy_sold
100177,policy_sold
99852,policy_sold
113422,policy_sold
116554,policy_sold
118024,policy_sold
114556,policy_sold
116126,policy_sold
85802,policy_sold
125677,policy_sold
124809,policy_sold
40773,policy_sold
50269,policy_sold
64226,policy_sold
62905,policy_sold
93124,policy_sold
47721,policy_sold
100879,policy_sold
80189,policy_sold
97855,policy_sold
54083,policy_sold
90478,policy_sold
44757,policy_sold
57215,policy_sold
95669,policy_sold
47851,policy_sold
40447,policy_sold
73078,policy_sold
70080,policy_sold
97078,policy_sold
42183,policy_sold
40022,policy_sold
41769,policy_sold
43813,policy_sold
123508,policy_sold
103235,policy_sold
103376,policy_sold
80951,policy_sold
38492,policy_sold
104020,policy_sold
130709,policy_sold
132731,policy_sold
113006,policy_sold
47155,policy_sold
115011,policy_sold
46072,policy_sold
119425,policy_sold
114215,policy_sold
37361,policy_sold
119988,policy_sold
51707,policy_sold
98632,policy_sold
118379,policy_sold
129192,policy_sold
123390,policy_sold
125729,policy_sold
54779,policy_sold
35161,policy_sold
121956,policy_sold
128110,policy_sold
130667,policy_sold
129833,policy_sold
54216,policy_sold
55232,policy_sold
66709,policy_sold
49246,policy_sold
81448,policy_sold
58940,policy_sold
59048,policy_sold
53694,policy_sold
53486,policy_sold
53486,policy_sold
58968,policy_sold
84912,policy_sold
116544,policy_sold
38555,policy_sold
57632,policy_sold
61214,policy_sold
134984,policy_sold
38736,policy_sold
120433,policy_sold
107154,policy_sold
107154,policy_sold
101157,policy_sold
96488,policy_sold
73256,policy_sold
73256,policy_sold
108481,policy_sold
108592,policy_sold
47358,policy_sold
109986,policy_sold
45583,policy_sold
69749,policy_sold
82138,policy_sold
117291,policy_sold
118447,policy_sold
107621,policy_sold
96706,policy_sold
63136,policy_sold
64720,policy_sold
105259,policy_sold
58386,policy_sold
50770,policy_sold
50855,policy_sold
51604,policy_sold
128019,policy_sold
123530,policy_sold
128670,policy_sold
131671,policy_sold
82555,policy_sold
37782,policy_sold
60264,policy_sold
45895,policy_sold
61337,policy_sold
44413,policy_sold
43662,policy_sold
112595,policy_sold
24730,policy_sold
58806,policy_sold
58850,policy_sold
36779,policy_sold
36653,lost
116934,policy_sold
126304,policy_sold
72308,policy_sold
36696,policy_sold
52459,policy_sold
95393,policy_sold
95114,test_request
57554,policy_sold
47859,policy_sold
56683,policy_sold
35683,policy_sold
22626,policy_sold
120426,policy_sold
2533,policy_sold
41414,policy_sold
106409,policy_sold
43365,policy_sold
43683,policy_sold
35762,policy_sold
113356,policy_sold
117127,policy_sold
115589,policy_sold
103553,policy_sold
98631,policy_sold
115113,policy_sold
110566,policy_sold
112097,policy_sold
121451,policy_sold
55236,policy_sold
126225,policy_sold
49907,policy_sold
129604,policy_sold
129497,policy_sold
132537,policy_sold
39849,policy_sold
45372,policy_sold
51448,policy_sold
121258,policy_sold
36408,policy_sold
38045,policy_sold
48178,policy_sold
75616,policy_sold
91225,policy_sold
46861,policy_sold
2711,policy_sold
98090,policy_sold
88606,policy_sold
98701,policy_sold
88655,policy_sold
71723,policy_sold
39134,policy_sold
107150,policy_sold
103089,policy_sold
135625,policy_sold
136392,policy_sold
86698,policy_sold
111030,policy_sold
132049,policy_sold
111554,policy_sold
47211,policy_sold
47525,policy_sold
113351,policy_sold
118901,policy_sold
104810,policy_sold
116611,policy_sold
117549,policy_sold
117645,policy_sold
119928,policy_sold
120722,policy_sold
80845,policy_sold
120358,policy_sold
116335,policy_sold
50258,policy_sold
59300,policy_sold
37512,policy_sold
62458,policy_sold
55078,policy_sold
52454,policy_sold
56312,policy_sold
39433,policy_sold
62229,policy_sold
61007,policy_sold
51212,policy_sold
68154,policy_sold
54015,policy_sold
127369,policy_sold
21571,lost
63276,policy_sold
107743,policy_sold
125100,policy_sold
97681,policy_sold
109814,policy_sold
47868,policy_sold
92247,policy_sold
88290,policy_sold
39867,policy_sold
39867,policy_sold
100589,policy_sold
119763,policy_sold
105032,policy_sold
44101,policy_sold
35574,policy_sold
112395,policy_sold
38620,policy_sold
116424,policy_sold
118437,policy_sold
118977,policy_sold
110392,policy_sold
115533,policy_sold
101124,policy_sold
109333,policy_sold
48159,policy_sold
135023,policy_sold
80841,policy_sold
49030,policy_sold
35507,policy_sold
113575,policy_sold
43659,policy_sold
18445,policy_sold
37394,policy_sold
93023,policy_sold
39918,policy_sold
56663,policy_sold
100940,policy_sold
42683,policy_sold
61202,policy_sold
42499,policy_sold
59153,policy_sold
97223,policy_sold
116991,policy_sold
45224,policy_sold
35335,policy_sold
124177,policy_sold
42313,policy_sold
63308,policy_sold
96892,policy_sold
35153,lost
99464,policy_sold
41597,policy_sold
92603,policy_sold
43522,policy_sold
74111,policy_sold
39519,policy_sold
65038,policy_sold
95450,policy_sold
42071,policy_sold
50084,policy_sold
65694,policy_sold
91248,policy_sold
104136,policy_sold
108538,policy_sold
108579,policy_sold
113820,policy_sold
46311,policy_sold
106575,policy_sold
109059,policy_sold
111613,policy_sold
46334,policy_sold
55650,policy_sold
59972,policy_sold
115024,policy_sold
134793,policy_sold
122394,policy_sold
119982,policy_sold
119732,policy_sold
122500,policy_sold
122500,policy_sold
88376,policy_sold
120131,policy_sold
126758,policy_sold
92731,policy_sold
52941,policy_sold
47914,policy_sold
130948,policy_sold
135829,policy_sold
38148,policy_sold
50072,policy_sold
66218,policy_sold
65558,policy_sold
93235,policy_sold
35350,policy_sold
92144,policy_sold
42558,policy_sold
84118,policy_sold
62179,policy_sold
48029,policy_sold
60631,policy_sold
37066,policy_sold
71072,policy_sold
96697,policy_sold
96699,policy_sold
79021,policy_sold
36752,policy_sold
40033,policy_sold
55187,policy_sold
117725,policy_sold
107374,policy_sold
115311,policy_sold
99632,policy_sold
71881,policy_sold
87647,policy_sold
84985,policy_sold
106917,policy_sold
135956,policy_sold
135847,policy_sold
111945,policy_sold
114665,policy_sold
113521,policy_sold
117205,policy_sold
123868,policy_sold
57312,policy_sold
111233,policy_sold
55093,policy_sold
63100,policy_sold
68846,policy_sold
61437,policy_sold
39845,policy_sold
36835,policy_sold
84739,policy_sold
131770,policy_sold
62640,policy_sold
39481,policy_sold
68967,policy_sold
96041,policy_sold
40939,policy_sold
60414,policy_sold
35193,policy_sold
79377,policy_sold
58841,policy_sold
46492,policy_sold
106728,policy_sold
51199,policy_sold
54330,policy_sold
80500,policy_sold
131767,policy_sold
136591,policy_sold
135525,policy_sold
103602,policy_sold
102221,policy_sold
113652,policy_sold
38411,policy_sold
108938,policy_sold
110844,policy_sold
35690,policy_sold
114631,policy_sold
114600,policy_sold
113980,policy_sold
40060,policy_sold
117207,policy_sold
48818,policy_sold
116825,policy_sold
39104,policy_sold
121833,policy_sold
127758,policy_sold
36502,policy_sold
122906,policy_sold
112928,policy_sold
127645,policy_sold
130426,policy_sold
127001,policy_sold
50650,policy_sold
51629,policy_sold
128208,policy_sold
120880,policy_sold
128061,policy_sold
136289,policy_sold
130731,policy_sold
127444,policy_sold
127444,policy_sold
127672,policy_sold
44572,policy_sold
57668,policy_sold
37249,policy_sold
127665,policy_sold
113615,policy_sold
87147,policy_sold
39495,policy_sold
94978,policy_sold
66711,policy_sold
36575,policy_sold
107600,policy_sold
41148,policy_sold
107004,policy_sold
111910,policy_sold
42850,policy_sold
112193,policy_sold
51358,policy_sold
47325,policy_sold
116343,policy_sold
102604,policy_sold
105050,policy_sold
122008,policy_sold
130417,policy_sold
121711,policy_sold
101493,policy_sold
100123,policy_sold
127489,policy_sold
35673,policy_sold
48850,policy_sold
124840,policy_sold
128088,policy_sold
130005,policy_sold
130162,policy_sold
133871,policy_sold
70799,policy_sold
103266,policy_sold
39611,policy_sold
44237,policy_sold
60574,policy_sold
46983,policy_sold
100132,policy_sold
58208,policy_sold
68332,policy_sold
80124,policy_sold
55028,policy_sold
55028,policy_sold
127167,policy_sold
50145,policy_sold
102448,policy_sold
2532,policy_sold
2532,policy_sold
133681,policy_sold
136627,policy_sold
51850,policy_sold
40070,policy_sold
2718,policy_sold
37035,policy_sold
62546,policy_sold
104240,policy_sold
47704,policy_sold
61776,policy_sold
2790,policy_sold
101537,policy_sold
104699,policy_sold
55551,policy_sold
10295,policy_sold
100485,policy_sold
36407,policy_sold
108554,policy_sold
39591,policy_sold
94462,policy_sold
66493,policy_sold
23088,policy_sold
136012,policy_sold
44442,policy_sold
39405,policy_sold
67834,policy_sold
2177,policy_sold
87094,policy_sold
50025,policy_sold
94815,policy_sold
115217,policy_sold
108133,policy_sold
46788,policy_sold
131673,policy_sold
132366,policy_sold
136902,policy_sold
136873,policy_sold
110903,policy_sold
115463,policy_sold
117427,policy_sold
119893,policy_sold
96224,policy_sold
42919,policy_sold
120025,policy_sold
119852,policy_sold
96943,policy_sold
122710,policy_sold
56424,policy_sold
124889,policy_sold
125509,policy_sold
129605,policy_sold
124279,policy_sold
130652,policy_sold
129709,policy_sold
129709,policy_sold
126154,policy_sold
130296,policy_sold
