id,state
99583,OH
39709,MO
45182,PA
39350,IA
44185,OH
45862,FL
47691,NC
47835,NJ
49167,NY
63458,PA
50355,NJ
50716,WA
53347,TN
56393,AZ
56837,CO
57371,NC
126595,
72747,NJ
96795,CT
106572,TN
58133,AZ
132579,UT
105076,TN
113954,TN
107584,IA
115966,TN
108898,MD
124497,TX
128416,TX
119381,AZ
118760,VA
116321,NC
116529,ID
121296,NC
121357,MS
119893,IN
124788,CO
124964,AZ
112849,VA
128590,CA
121953,CT
141836,OH
127665,NJ
142228,NC
142250,CA
142381,NJ
130956,IL
139900,GA
131699,KY
131746,IN
134522,CA
134549,NY
47465,NJ
41837,MI
42693,MD
42957,VA
43641,CA
60980,NC
45699,IN
47037,CT
48663,TN
48914,GA
49973,MD
54944,MD
80278,NY
58480,MO
77478,UT
47707,FL
127241,
127509,
70585,FL
92497,TN
107695,VA
92996,WA
78723,MA
90547,PA
81071,CA
135879,NJ
97290,MN
97724,GA
137623,MO
105477,CA
137659,CO
83490,GA
136035,CA
136065,FL
87710,VA
131953,CA
101159,OH
101377,VA
95331,OH
99299,MT
99344,NM
86772,TN
86786,FL
87625,FL
89510,PA
102845,TX
131980,AR
97898,OH
97897,GA
98179,MD
101922,GA
95565,AL
95916,NC
56211,NY
134794,FL
36751,CO
134839,MS
117464,GA
114879,PA
120798,GA
120180,TN
114263,MD
124244,AZ
110639,CA
36626,TX
117042,NC
48363,NY
106272,NC
102750,TX
35515,TX
37047,NC
119216,TX
120126,DC
134838,MS
129493,IN
118147,AL
112279,MA
119156,OH
128684,PA
113680,NM
141459,MA
122068,AZ
123215,TX
108952,IN
141811,TX
139346,TX
124393,KY
124647,GA
109599,AZ
128960,NJ
142282,AZ
130617,MN
133368,UT
133772,MD
135163,MD
135704,AZ
137971,NY
47441,NJ
135683,AZ
113086,SC
128643,AL
139178,NJ
123323,CA
134367,FL
124787,CO
124945,NC
124978,MI
129518,MA
142234,WI
131328,TX
131594,MN
140275,TX
133546,IN
133640,TX
136309,FL
137536,CO
39411,KY
39755,GA
43195,AR
43387,FL
41035,CA
46295,KY
47561,OH
49886,GA
125880,
51714,CA
53929,MN
57078,GA
57339,VA
113038,TX
37741,NC
37825,MS
39507,NC
135651,UT
131019,MA
135715,MD
62171,CA
63088,NM
67875,MA
127487,
136689,MS
77390,MN
77576,NC
47008,NY
87932,MA
35824,CA
133515,IA
118422,TX
116021,MA
109082,CT
114355,FL
116238,IL
124261,MA
116648,IN
116737,OR
119007,NC
111804,TX
111974,TN
118138,TX
112414,VA
118158,PA
112474,CA
112582,SC
133088,CA
99472,IN
101870,MT
131997,TX
97548,NC
94221,TN
101311,NY
43595,TX
42533,AL
37069,CO
48018,NJ
48874,FL
125612,
51264,AZ
52439,CA
53717,CA
55937,CA
63426,MS
127252,
68382,NY
73599,NJ
137417,TX
79593,CA
91431,NC
113036,TX
128579,CA
128586,CA
122805,MD
139315,MD
134369,FL
124540,AZ
124350,OH
124699,AZ
127998,OH
142280,TX
142269,GA
54987,FL
140217,TN
134454,NY
138594,CA
136389,CA
141273,TN
93913,MN
130423,MO
137626,MO
100718,AL
99802,IN
103277,MD
103940,OH
106461,NC
60362,FL
117598,FL
108507,NC
108889,OH
118001,OH
118952,WI
111271,VA
138703,AZ
124829,IA
114863,OH
112593,TX
133097,OH
128701,FL
121754,TX
123756,TX
124549,NC
124909,MD
139627,TX
128492,NY
134386,NC
129386,CO
130878,GA
139872,IN
142735,KY
133491,AZ
134560,IN
134556,IL
140905,NC
135575,TX
138257,NJ
39759,IN
35664,TN
130226,TX
36782,TX
36932,GA
38512,TX
39983,CA
40040,MD
41190,OH
41936,TX
52253,NV
43495,NY
125662,
51030,TN
84278,TN
57093,GA
57354,NY
58474,MT
80825,NJ
62923,MA
105538,NY
127402,
127486,
130342,TN
90798,MI
106123,IN
86154,IN
99757,AL
100306,TN
105698,HI
94691,CA
100012,FL
106713,MI
79539,NY
102239,CO
128216,NY
108911,CA
118658,IL
124262,AR
120254,CO
118764,NC
120596,WI
110121,TN
110409,MA
110826,CO
118913,MS
111433,CT
111515,IL
124794,IL
111973,TN
133129,MA
113504,TN
46623,TX
139496,DC
141976,MO
130276,GA
130511,OH
130909,NC
131152,CA
131218,MO
133990,CA
134155,NJ
134701,FL
136211,NY
138174,MD
37095,MO
38008,NY
39397,OH
46165,AZ
41546,NY
125165,
46670,CA
46686,PA
47699,MS
125645,
50097,IL
126503,
126506,
58973,NY
126627,
126630,
61343,SC
39969,GA
62747,MI
65789,MD
69603,KY
86487,GA
90950,OH
127512,
136653,TX
71316,WI
79453,KS
90475,AZ
90522,CA
135935,AL
88453,TN
97892,CA
92390,TN
99570,VA
45230,MS
98924,TN
94280,IL
102416,MA
103029,ID
97500,NJ
129022,TN
48929,CA
104172,GA
104388,UT
106620,IL
21943,OR
37509,UT
108432,WI
116106,FL
117835,GA
128419,KY
38751,CO
124227,TN
121010,MD
111163,NJ
112713,MS
133126,UT
113268,NJ
115381,TN
143612,KY
139128,MS
123135,SC
124942,MI
142045,FL
128181,CT
139655,TX
128915,IN
129751,OH
129507,NC
129573,WI
130433,NC
142359,TX
139829,NV
130920,NC
129427,NC
131158,VA
131162,VA
131628,NM
133909,VA
134516,NY
135499,NY
136967,PA
23460,MD
46982,GA
47283,MO
47544,IN
48695,TX
125614,
49737,IN
125721,
64263,TX
54028,MD
56000,FL
57260,GA
58523,MI
25174,NY
130275,GA
38573,CA
40056,CO
42797,WI
126806,
64413,TX
64860,VA
65876,IL
127131,
77668,VA
79937,IN
81100,CA
88651,WA
106215,IL
89093,WI
106038,AL
94060,LA
103025,OK
48765,CO
103371,AZ
115462,TN
37288,TX
133520,GA
117454,GA
107656,AZ
115579,CA
115866,KS
128139,GA
128182,OH
108995,IL
129397,TX
117933,IN
109969,CT
120607,PA
124676,NY
118877,NJ
116580,MA
118148,FL
113253,IL
113290,IL
141478,VA
141645,CA
124134,CA
124352,OH
124979,MI
128861,TX
129303,OH
144546,TX
130106,CO
130444,MA
131721,AZ
133004,FL
133149,MD
135508,TX
135654,CA
136644,TX
35992,MS
125140,VA
42172,CA
42352,TN
43437,VA
44052,CA
46800,FL
47193,TX
37413,VA
50479,MD
50548,PA
51368,AZ
54694,TX
53466,NJ
53859,PA
58823,NJ
59603,AZ
59919,CA
126698,
127140,
71224,SC
96110,PA
131160,VA
131508,MI
85374,CO
100185,NY
92778,AL
99648,NC
101259,VA
137660,CO
95266,KS
106734,FL
96492,TX
102748,GA
103161,WA
103829,TN
58549,DE
3010,CA
36561,CA
36747,AZ
37455,WI
79629,TN
133530,IN
107589,IA
129370,AZ
117879,NM
116752,MI
124715,GA
51174,MA
112635,MO
141323,ID
120065,VA
141428,TX
122644,IN
134354,IL
124624,PA
124507,PA
127863,OH
142015,KY
142012,KY
128095,KY
142225,TX
130569,OH
132125,CO
132350,CA
140242,WI
133841,NV
140918,TX
141160,OK
137096,MD
137495,NV
135639,KY
135802,IN
130227,TX
35962,OH
38291,SC
38514,TN
38535,OH
39054,GA
39648,MN
39777,AZ
41476,IL
41662,CO
44487,NJ
46595,CA
47077,CO
106078,TN
49140,HI
53782,SC
54803,TX
66277,CA
57992,PA
59715,MS
60935,CA
61104,GA
65138,WI
62086,SC
62717,TX
127488,
136666,AR
92289,NC
78812,FL
91528,NC
81948,CT
137614,MD
92410,MT
10161,CA
94907,GA
95416,TX
95705,CA
106268,VA
47836,NJ
55514,IL
58613,DE
134817,IL
37387,CO
37961,MO
105674,TX
120161,TN
109339,AZ
109415,TX
109486,TX
116236,MA
119423,TX
119451,MD
119457,TX
110478,OH
84987,NY
138701,AZ
112416,TN
117377,IN
138819,OH
141475,VA
134370,FL
124444,AL
124628,VA
128565,NV
129603,NM
130107,FL
124903,IN
139971,AR
135697,IL
136120,CA
136311,IN
37078,OH
131018,MA
135732,MD
43491,ND
44233,GA
38336,NV
50680,NC
40089,CO
40352,NC
45028,NY
58514,IN
125734,
51018,NY
51977,IA
52732,KS
126234,
56928,UT
136645,TX
60817,TX
127788,TN
82760,GA
107240,IN
86984,OK
136001,GA
100651,CA
3204,CA
101208,NJ
93675,TN
135992,MD
94635,NC
99436,WI
102701,TN
133493,AZ
104181,MO
38024,CA
38662,MA
133532,IN
107682,MN
118449,VA
129369,AZ
116158,IL
114336,MA
124263,AR
124260,MA
118787,CO
110046,OK
118827,GA
88972,GA
110497,CO
110898,GA
117062,NJ
112236,WA
112649,MO
43350,FL
39134,NY
39979,TX
40674,MD
45812,NY
46164,MA
125615,
50198,CO
55327,MN
126424,
126492,
58970,CA
133121,CA
112873,FL
115374,NJ
128649,GA
128644,AL
121706,PA
124445,IN
110952,MS
142030,CA
111024,GA
41104,CO
129574,VA
142273,FL
130585,TX
55297,MA
133399,TX
133490,TN
136442,FL
141042,MN
103292,MI
126807,
61411,TX
75085,CA
66008,IN
66028,FL
66059,ID
127458,
70956,MI
77268,KY
89702,AR
87609,NV
84106,SC
83578,OH
105663,VA
100281,CT
93958,NY
105709,FL
100835,CA
104160,IL
60651,GA
106507,VA
18824,CA
35677,IN
36987,AZ
38117,IA
117926,NJ
109936,AZ
114507,NJ
121179,MI
114719,IN
111670,IN
124848,CO
111996,FL
106897,NY
112523,KY
141752,CT
120878,OH
128199,AL
129572,WI
142288,CA
133378,TX
134738,CA
140808,TX
135197,NJ
135507,IN
136972,NJ
137086,MO
137496,NV
35509,NC
38373,NC
39057,CA
39464,FL
44227,WY
40434,MS
52935,NY
47868,NJ
125583,
125826,
72568,OK
56411,MA
59632,PA
72894,OH
62529,FL
67387,TX
67699,TX
69546,CA
131543,NJ
89781,TX
83656,NV
88340,CO
102857,TX
86044,TX
100104,MA
131616,SC
3171,IL
101871,MT
101872,MO
10674,CA
95914,NY
133567,CT
103089,NJ
36560,TX
38396,CO
107349,TX
114159,IL
118589,VA
112676,CT
110696,CA
128547,CO
118918,MA
114632,MI
129506,NC
112074,NJ
112421,VA
115168,MI
139039,IA
141658,VA
139086,AZ
124390,MN
124607,OH
124671,CA
124486,CA
124652,NY
139475,SC
142254,AZ
142285,FL
134291,MO
129895,TX
135155,CT
136414,TX
136756,IN
130611,FL
